"site1","site2","p_adj","family","sig"
"Udder","Left front pastern",0.0442450783263714,"Eggerthellaceae","*"
"Udder","Muzzle",0.00830114875103215,"Eggerthellaceae","**"
"Udder","Neck",0.00845055505670214,"Eggerthellaceae","**"
"Udder","Pectoral area",0.0125399033022159,"Eggerthellaceae","*"
"Ventral abdomen","Dorsum",0.000540410615842202,"Eggerthellaceae","***"
"Ventral abdomen","Environment",0.254841954039439,"Eggerthellaceae","ns"
"Ventral abdomen","Forehead",0.000634349594077044,"Eggerthellaceae","***"
"Ventral abdomen","Left front pastern",0.0040618243292776,"Eggerthellaceae","**"
"Ventral abdomen","Muzzle",0.000882726631679209,"Eggerthellaceae","***"
"Ventral abdomen","Neck",0.000886342438162036,"Eggerthellaceae","***"
"Ventral abdomen","Pectoral area",0.000886342438162036,"Eggerthellaceae","***"
"Ventral abdomen","Udder",0.254841954039439,"Eggerthellaceae","ns"
"Environment","Dorsum",0.264100186355773,"Lachnospiraceae","ns"
"Forehead","Dorsum",0.00166527038062991,"Lachnospiraceae","**"
"Forehead","Environment",0.648046114010363,"Lachnospiraceae","ns"
"Left front pastern","Dorsum",0.00021610232211966,"Lachnospiraceae","***"
"Left front pastern","Environment",0.648046114010363,"Lachnospiraceae","ns"
"Left front pastern","Forehead",0.90099826090694,"Lachnospiraceae","ns"
"Muzzle","Dorsum",0.00021610232211966,"Lachnospiraceae","***"
"Muzzle","Environment",0.648046114010363,"Lachnospiraceae","ns"
"Muzzle","Forehead",0.985751414004248,"Lachnospiraceae","ns"
"Muzzle","Left front pastern",0.944842469107504,"Lachnospiraceae","ns"
"Neck","Dorsum",0.00021610232211966,"Lachnospiraceae","***"
"Neck","Environment",0.854689333775132,"Lachnospiraceae","ns"
"Neck","Forehead",1,"Lachnospiraceae","ns"
"Neck","Left front pastern",0.944842469107504,"Lachnospiraceae","ns"
"Neck","Muzzle",1,"Lachnospiraceae","ns"
"Pectoral area","Dorsum",0.00021610232211966,"Lachnospiraceae","***"
"Pectoral area","Environment",0.974939639261708,"Lachnospiraceae","ns"
"Pectoral area","Forehead",0.425841058828127,"Lachnospiraceae","ns"
"Pectoral area","Left front pastern",0.579605506246085,"Lachnospiraceae","ns"
"Pectoral area","Muzzle",0.488850920884512,"Lachnospiraceae","ns"
"Pectoral area","Neck",0.425841058828127,"Lachnospiraceae","ns"
"Udder","Dorsum",0.00021610232211966,"Lachnospiraceae","***"
"Udder","Environment",0.524362209184947,"Lachnospiraceae","ns"
"Udder","Forehead",0.0081571739553223,"Lachnospiraceae","**"
"Udder","Left front pastern",0.0318104312758006,"Lachnospiraceae","*"
"Udder","Muzzle",0.0206773394851693,"Lachnospiraceae","*"
