"family","fpr","tpr","threshold"
"Intrasporangiaceae",0.416666666666667,0.833333333333333,0.012488855674423
"Intrasporangiaceae",0.416666666666667,0.8125,0.012353455205724
"Intrasporangiaceae",0.416666666666667,0.791666666666667,0.0121201632105059
"Intrasporangiaceae",0.416666666666667,0.770833333333333,0.0115405440433161
"Intrasporangiaceae",0.416666666666667,0.75,0.0107941044892886
"Intrasporangiaceae",0.416666666666667,0.729166666666667,0.0103775558828284
"Intrasporangiaceae",0.416666666666667,0.708333333333333,0.0102968389216555
"Intrasporangiaceae",0.395833333333333,0.708333333333333,0.0102345859157736
"Intrasporangiaceae",0.395833333333333,0.6875,0.0101581308987996
"Intrasporangiaceae",0.375,0.6875,0.00986089423814234
"Intrasporangiaceae",0.354166666666667,0.6875,0.00955816263952666
"Intrasporangiaceae",0.354166666666667,0.666666666666667,0.0092947146354738
"Intrasporangiaceae",0.354166666666667,0.645833333333333,0.00909443967954712
"Intrasporangiaceae",0.333333333333333,0.645833333333333,0.00899174419328399
"Intrasporangiaceae",0.3125,0.645833333333333,0.0088101656672364
"Intrasporangiaceae",0.3125,0.625,0.0086874067797413
"Intrasporangiaceae",0.3125,0.604166666666667,0.00852380446174741
"Intrasporangiaceae",0.291666666666667,0.604166666666667,0.0083467321210598
"Intrasporangiaceae",0.291666666666667,0.583333333333333,0.00822306954579697
"Intrasporangiaceae",0.291666666666667,0.5625,0.00803232414126806
"Intrasporangiaceae",0.270833333333333,0.5625,0.007810227201172
"Intrasporangiaceae",0.270833333333333,0.541666666666667,0.00765999621683099
"Intrasporangiaceae",0.270833333333333,0.520833333333333,0.00738840192055032
"Intrasporangiaceae",0.270833333333333,0.5,0.00715366259203442
"Intrasporangiaceae",0.270833333333333,0.479166666666667,0.00683250858574623
"Intrasporangiaceae",0.270833333333333,0.458333333333333,0.00650932780809488
"Intrasporangiaceae",0.270833333333333,0.4375,0.00635038079048639
"Intrasporangiaceae",0.25,0.4375,0.00613758361585015
"Intrasporangiaceae",0.229166666666667,0.4375,0.00597862580274575
"Intrasporangiaceae",0.208333333333333,0.4375,0.00587014660769282
"Intrasporangiaceae",0.208333333333333,0.416666666666667,0.00584579736285945
"Intrasporangiaceae",0.1875,0.416666666666667,0.00582234335777477
"Intrasporangiaceae",0.1875,0.395833333333333,0.00573252045668456
"Intrasporangiaceae",0.166666666666667,0.395833333333333,0.00544481446874437
"Intrasporangiaceae",0.145833333333333,0.395833333333333,0.0049234322066521
"Intrasporangiaceae",0.125,0.395833333333333,0.00459231855487409
"Intrasporangiaceae",0.125,0.375,0.0043318514768859
"Intrasporangiaceae",0.125,0.354166666666667,0.00404475602453098
"Intrasporangiaceae",0.125,0.333333333333333,0.00380802376710371
"Intrasporangiaceae",0.104166666666667,0.333333333333333,0.00309236661195556
"Intrasporangiaceae",0.0833333333333334,0.333333333333333,0.00246565096722383
"Intrasporangiaceae",0.0833333333333334,0.3125,0.00219555875438036
"Intrasporangiaceae",0.0833333333333334,0.291666666666667,0.00144009417243424
"Intrasporangiaceae",0.0625,0.291666666666667,0.00082067801810093
"Intrasporangiaceae",0.0625,0.270833333333333,0.00062695443491847
"Intrasporangiaceae",0.0625,0.25,0.000398785847593635
"Intrasporangiaceae",0.0625,0.229166666666667,0.00031634434846563
"Intrasporangiaceae",0.0625,0.208333333333333,0.000289167717510625
"Intrasporangiaceae",0.0625,0.1875,0.0002197950399456
"Intrasporangiaceae",0.0625,0.166666666666667,0.00013200551017371
"Intrasporangiaceae",0.0625,0.145833333333333,5.3365115224175e-05
"Intrasporangiaceae",0,0,-Inf
"Hungateiclostridiaceae",1,1,Inf
"Hungateiclostridiaceae",0.979166666666667,1,0.0141787695394064
"Hungateiclostridiaceae",0.958333333333333,1,0.0134705824897524
"Hungateiclostridiaceae",0.9375,1,0.0127740827697879
"Hungateiclostridiaceae",0.916666666666667,1,0.0125717332861847
"Hungateiclostridiaceae",0.895833333333333,1,0.0122861262522273
"Hungateiclostridiaceae",0.875,1,0.0118785701806192
"Hungateiclostridiaceae",0.854166666666667,1,0.011645265970256
"Hungateiclostridiaceae",0.833333333333333,1,0.0107584486437081
"Hungateiclostridiaceae",0.8125,1,0.00990501716052079
"Hungateiclostridiaceae",0.791666666666667,1,0.00976214650957875
"Hungateiclostridiaceae",0.791666666666667,0.979166666666667,0.00960342888393594
"Hungateiclostridiaceae",0.770833333333333,0.979166666666667,0.00944538379611608
"Hungateiclostridiaceae",0.75,0.979166666666667,0.00928964523653043
"Hungateiclostridiaceae",0.729166666666667,0.979166666666667,0.00912816862009211
"Hungateiclostridiaceae",0.708333333333333,0.979166666666667,0.00859655508217809
"Hungateiclostridiaceae",0.6875,0.979166666666667,0.00813299461606076
"Hungateiclostridiaceae",0.666666666666667,0.979166666666667,0.00796353773609522
"Hungateiclostridiaceae",0.645833333333333,0.979166666666667,0.00782169029628652
"Hungateiclostridiaceae",0.625,0.979166666666667,0.00771786149398323
"Hungateiclostridiaceae",0.604166666666667,0.979166666666667,0.00761825533643989
"Hungateiclostridiaceae",0.583333333333333,0.979166666666667,0.00746743875732298
"Hungateiclostridiaceae",0.5625,0.979166666666667,0.00707729389682712
"Hungateiclostridiaceae",0.541666666666667,0.979166666666667,0.00677014739814356
"Hungateiclostridiaceae",0.520833333333333,0.979166666666667,0.00668017278309296
"Hungateiclostridiaceae",0.5,0.979166666666667,0.0064790422175985
"Hungateiclostridiaceae",0.479166666666667,0.979166666666667,0.0062314034750864
"Hungateiclostridiaceae",0.458333333333333,0.979166666666667,0.00608587428241339
"Hungateiclostridiaceae",0.4375,0.979166666666667,0.00598258873706232
"Hungateiclostridiaceae",0.416666666666667,0.979166666666667,0.00590666855281616
"Hungateiclostridiaceae",0.395833333333333,0.979166666666667,0.00570219476602226
"Hungateiclostridiaceae",0.375,0.979166666666667,0.00547239896696435
