#OTU ID	1_S01	10-1_S02	10-2_S03	10-3_S04	10-4_S05	10-5_S06	10-6_S07	10-7_S08	10-8_S09	11-1_S10	11-2_S11	11-3_S12	11-4_S13	11-5_S14	11-6_S15	11-7_S16	11-8_S17	12-1_S18	12-2_S19	12-3_S20	12-4_S21	12-5_S22	12-6_S23	12-7_S24	12-8_S25	13-1_S26	13-2_S27	13-3_S28	13-4_S29	13-5_S30	13-6_S31	13-7_S32	13-8_S33	2-1_S34	2-2_S35	2-3_S36	2-4_S37	2-5_S38	2-6_S39	2-7_S40	2-8_S41	3-1_S42	3-2_S43	3-3_S44	3-4_S45	3-5_S46	3-6_S47	3-7_S48	3-8_S49	4-1_S50	4-2_S51	4-3_S52	4-4_S53	4-5_S54	4-6_S55	4-7_S56	4-8_S57	5-1_S58	5-2_S59	5-3_S60	5-4_S61	5-5_S62	5-6_S63	5-7_S64	5-8_S65	6-1_S66	6-2_S67	6-3_S68	6-4_S69	6-5_S70	6-6_S71	6-7_S72	6-8_S73	7-1_S74	7-2_S75	7-3_S76	7-4_S77	7-5_S78	7-6_S79	7-7_S80	7-8_S81	8-1_S82	8-2_S83	8-3_S84	8-4_S85	8-5_S86	8-6_S87	8-7_S88	8-8_S89	9-1_S90	9-2_S91	9-3_S92	9-4_S93	9-5_S94	9-6_S95	9-7_S96	9-8_S97
d__Bacteria;p__Patescibacteria;c__Berkelbacteria;o__Berkelbacteria;f__Berkelbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae	420	16379	25837	4149	2151	373	1354	1572	40652	3241	4754	3528	4497	274	494	3872	3487	25921	23976	2255	3423	692	60586	10198	9870	16951	11830	1213	2239	1134	3142	1912	2178	13276	23478	5316	6303	8374	2451	16884	7625	16618	21001	3365	13130	463	1553	2195	11935	11674	9407	6305	5993	487	42940	18860	23167	15774	11366	3568	4292	282	4587	886	8608	16921	5341	6283	2124	1445	10409	608	3952	17329	10158	559	7514	500	8490	426	3596	16401	19250	1498	1398	843	716	103	36693	10964	21974	4519	9679	760	16324	5333	21130
d__Bacteria;p__Patescibacteria;c__CPR2;o__CPR2;f__CPR2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae	0	106	228	17	20	0	65	33	894	5	0	17	18	0	183	53	45	49	609	48	0	0	1610	271	176	43	55	7	0	15	55	0	69	43	184	77	68	5	178	202	166	141	45	28	112	0	149	268	259	77	17	26	10	0	464	264	348	86	72	14	11	0	41	0	55	49	39	77	52	7	107	0	265	54	59	3	27	0	169	2	34	77	369	6	4	13	87	4	719	50	403	70	28	0	135	70	608
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__uncultured	0	0	0	13	0	0	70	0	7	0	0	0	0	0	13	15	24	0	0	0	0	0	0	6	55	0	0	0	0	0	40	12	39	11	3	0	0	0	24	0	146	10	0	0	14	0	46	35	2	0	0	0	0	0	0	0	91	0	2	0	0	0	16	0	0	7	0	0	11	0	21	0	146	0	0	0	0	0	0	2	0	3	0	5	0	0	0	0	0	4	0	0	0	0	14	0	0
d__Bacteria;p__Firmicutes;c__Dethiobacteria;o__Dethiobacterales;f__Dethiobacteraceae	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae	6	95	288	10	28	0	186	45	512	0	40	25	42	0	711	70	0	111	149	0	14	0	5226	952	69	43	52	0	5	14	85	3	53	115	187	85	50	10	1308	356	48	155	53	87	198	0	634	688	311	111	16	40	34	0	251	138	139	64	200	72	13	0	135	37	50	129	59	28	31	0	50	5	133	66	132	0	71	5	274	0	18	108	181	27	0	0	513	20	290	130	191	42	65	11	142	90	261
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae	0	162	70	628	59	10	517	31	46	0	0	92	0	19	187	12	27	108	95	103	39	89	113	46	63	91	108	5	0	0	174	0	96	198	59	254	161	41	433	97	15	231	44	124	116	55	323	83	73	197	21	284	55	51	31	39	54	160	49	99	61	26	193	0	72	158	31	169	0	70	56	6	44	171	73	0	38	97	354	0	0	84	16	78	4	54	308	0	21	203	80	51	82	28	308	8	40
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	57	1213	557	2890	366	425	2893	276	1589	61	53	530	183	69	663	415	152	547	942	830	124	239	260	691	740	606	539	55	35	14	938	74	494	1544	695	1605	1403	257	1864	1018	708	1439	790	629	927	328	1015	597	594	721	377	1451	288	288	132	380	830	1204	691	641	376	123	826	34	749	1140	225	983	66	263	256	26	508	886	595	54	203	417	1412	86	84	903	1019	725	267	584	1708	34	888	2042	953	775	598	73	1701	410	1426
