"pathway","mean_GCtS","mean_EtS","log2FC","W","p","p_adj","sig","direction"
"PWY-7234",12668.6214549145,13732.8448076639,0.116370970726146,1119,0.812620696344928,0.879389130313149,"ns","EtS_higher"
"PWY-6125",16387.6635341457,15848.9820719652,-0.0482199935393014,1182,0.829641036722395,0.896012319660187,"ns","GCtS_higher"
"HSERMETANA-PWY",15700.0692026303,15449.2317422876,-0.0232358204981265,1180,0.84103261481652,0.902897836979962,"ns","GCtS_higher"
"PWY-702",13818.0841561823,14448.6964208952,0.0643817334550424,1180,0.84103261481652,0.902897836979962,"ns","EtS_higher"
"TRNA-CHARGING-PWY",13265.014472959,13654.4824084025,0.0417483781978073,1124,0.84103261481652,0.902897836979962,"ns","EtS_higher"
"DHGLUCONATE-PYR-CAT-PWY",1.65120887774671,6.85544597006449,2.05372788804679,1143.5,0.845402466484938,0.905788356948148,"ns","EtS_higher"
"RIBOSYN2-PWY",13462.258512662,13231.7168879011,-0.0249201944300625,1176,0.863912653609099,0.92378778801765,"ns","GCtS_higher"
"FERMENTATION-PWY",14233.1134995633,14031.2258104965,-0.0206102338504576,1175,0.869651150122081,0.928086207640165,"ns","GCtS_higher"
"PWY-7446",0.806490091257891,1.64437359467251,1.02780939622808,1151,0.8723259762309,0.929104590068414,"ns","EtS_higher"
"PWY-5189",13167.480361919,13760.4509831293,0.063548445656779,1130,0.875396454870758,0.930539538642144,"ns","EtS_higher"
"PWY-6662",8.56188004397617,20.676189711687,1.27197081667588,1133.5,0.885743568105517,0.939688657715087,"ns","EtS_higher"
"PWY-3841",15764.2512903896,16133.40734759,0.0333945132753617,1171,0.892670262174178,0.945180277596188,"ns","EtS_higher"
"BRANCHED-CHAIN-AA-SYN-PWY",16728.4995974384,16000.9994297517,-0.0641460345198747,1169,0.90421473804024,0.946271237483972,"ns","GCtS_higher"
"PWY-5686",17389.0206270523,17035.830955914,-0.0296043609965556,1169,0.90421473804024,0.946271237483972,"ns","GCtS_higher"
"PWY-6313",8258.23665284058,8142.79119815623,-0.0203103533816678,1134,0.898439838646117,0.946271237483972,"ns","GCtS_higher"
"PWY-7663",13964.1340496965,14433.4096011,0.0476860362912663,1135,0.90421473804024,0.946271237483972,"ns","EtS_higher"
"PWY-7790",17389.0206270523,17035.830955914,-0.0296043609965556,1169,0.90421473804024,0.946271237483972,"ns","GCtS_higher"
"PWY-7791",17389.0206270523,17035.830955914,-0.0296043609965556,1169,0.90421473804024,0.946271237483972,"ns","GCtS_higher"
"PANTOSYN-PWY",13130.5953580506,14169.0478420867,0.109810481261402,1137,0.915779305913264,0.956519971360082,"ns","EtS_higher"
"PANTO-PWY",12874.0236190821,12853.1640775122,-0.00233946781338923,1166,0.921568372646347,0.96070834214098,"ns","GCtS_higher"
"GLYCOGENSYNTH-PWY",16971.8787339216,16836.8165964764,-0.011526887422102,1164,0.933158562113712,0.967189296624577,"ns","GCtS_higher"
